date,platform,text,person,truthfulness category
"November1,2017",a tweet,"Says the diversity visa lottery program is ""a Chuck Schumer beauty.""",Donald Trump,barely-true
"October26,2017",a statement,"Says HIV and AIDS rates have spiked ""due to increased heroin and fentanyl use.""",Edward Markey,barely-true
"October30,2017",a tweet,"Says Paul Manafort’s alleged crimes were ""years ago, before Paul Manafort was part of the Trump campaign.""",Donald Trump,barely-true
"October23,2017",a tweet,"Says Patrick Morrisey ""ran for Congress in NJ as pro-choice.""",Evan Jenkins,false
"October30,2017",a blog post,"""Jeff Flake’s office leaks names of those charged in Mueller’s Russian probe.""",Bloggers,pants-fire
"September27,2017",an interview,"Says Roy Moore ""has advocated getting the federal government out of health care altogether, which means doing away with Medicaid, which means doing away with Medicare.""",Doug Jones,false
"October25,2017",a tweet,"Says the GOP plan he supports is ""the biggest tax cut in U.S. history.""",Donald Trump,false
"October18,2017",a tweet,"Insurance companies ""have made a fortune with Obamacare.""",Donald Trump,false
"October10,2017",a fake news website,"Says Tampa Bay Lightning hockey player J.T. Brown was ""fired after raising fist during national anthem.""",Bloggers,pants-fire
"October12,2017",a tweet,"The state and local tax deduction is a major benefit for moderate-income households because ""50% of households that claim State & Local Tax deduction make under $100K.""",Nancy Pelosi,mostly-true
"October19,2017",a White House briefing,"At a 2015 dedication of an FBI building in Florida, Rep. Frederica Wilson ""stood up there ... and talked about how she was instrumental in getting the funding for that building, and how she took care of her constituents because she got the money, and she just called up President Obama, and on that phone call he gave the money -- the $20 million -- to build the building. And she sat down.""",John Kelly,false
"October16,2017",in an interview,"NFL players taking a knee during the national anthem is ""against the law.""",Roy Moore,false
"October15,2017",comments on ABC,"""And I think that his engagement with Congress is something that never happened under President Obama. They were never allowed to debate it. They were never allowed to discuss it. So, now Congress is going to be fully engaged on the threats of Iran.""",Nikki Haley,barely-true
"October17,2017",an interview with E.W. Scripps television,"""We're the highest developed nation taxed in the world.""",Donald Trump,false
"October16,2017",a White House cabinet meeting,"""The cost-sharing reductions (were) a gift (that) they gave the insurance companies.""",Donald Trump,barely-true
"October5,2017",an op-ed,"""State government spending is at an all-time high. The state is on track to spend more in this fiscal year — more than $17.9 billion — than at any time in state history.""",Oklahoma Council of Public Affairs,barely-true
"October10,2017",a tweet,"The NFL is ""getting massive tax breaks.""",Donald Trump,mostly-true
"October11,2017",an interview with Fox News' Sean Hannity,"The Obama administration ""borrowed more than $10 trillion, right? And yet, we picked up $5.2 trillion just in the stock market. ... Maybe in a sense we’re reducing debt.""",Donald Trump,false
"October8,2017",a tweet,"""Bob Corker gave us the Iran Deal.""",Donald Trump,false
"October8,2017",a document,"""Loopholes in current law prevent ‘Unaccompanied Alien Children’ (UACs) that arrive in the country illegally from being removed.""",Donald Trump,barely-true
"October8,2017","a ""Fox News Sunday"" interview","Says Sen. Dianne Feinstein said ""if she had 51 votes in the Senate for 'Mr. and Ms. America, turn in all of your guns,' they would do it.""",Chris Cox,false
"October5,2017",a press release,"""The Obama administration approved the sale of bump fire stocks on at least two occasions.""",National Rifle Association,mostly-true
"October2,2017",an op-ed,"Says the Dickey Amendment ""prevents the Centers for Disease Control and Prevention from even researching the relationship between gun violence and public health. ... The government can’t study gun violence but is spending $400,000 analyzing the effects of Swedish massages on rabbits.""",Steve Israel,mostly-true
"October4,2017",a web post,"""Celine Dion’s 16-year-old Rene-Charles Angelil’s was among the 58 victims who were killed"" in Las Vegas.",HoustonChronicle-tv.com,pants-fire
"October1,2017","an interview on ""Fox News Sunday""",On whether higher federal deficits are acceptable.,Mick Mulvaney,full-flop
"October2,2017",a tweet,"""The crowd (in Las Vegas) fled at the sound of gunshots. Imagine the deaths if the shooter had a silencer ...""",Hillary Clinton,false
"October2,2017",a fake news post,A flight crew took a knee and stranded the New Orleans Saints on an airport runway.,Bloggers,pants-fire
"September30,2017",a tweet,"In the Alabama Senate runoff, ""the candidate I endorsed (Luther Strange) went up MANY points after endorsement!""",Donald Trump,barely-true
"September27,2017",an interview with reporters,"Says ""No, I don't benefit, I don't benefit"" from his tax proposal.",Donald Trump,false
"September27,2017",a speech,"Ending the estate tax would ""protect millions of small businesses and the American farmer.""",Donald Trump,pants-fire
"September27,2017",an interview,"""We have one senator who’s a ‘yes’ vote ... but he’s in the hospital. And he’s a ‘yes’ vote. So we can’t do it by Friday. So we have the votes"" to pass a health care bill.",Donald Trump,false
"September22,2017",a rally,"""So now they take drugs, literally, and they throw it, a hundred pounds of drugs. They throw it over the wall, they have catapults, but they throw it over the wall, and it lands and it hits somebody on the head.""",Donald Trump,mostly-true
"September24,2017",an interview,"North Korea is ""the fifth or fourth most sanctioned nation.""",Cory Gardner,mostly-true
"September17,2017",an NBC interview,"""If you pass the so-called Dream Act, it will be the single biggest amnesty in the history of the United States, even bigger than the 1986 amnesty.""",Tom Cotton,barely-true
"September21,2017",a post on the Internet,"""12 more hurricanes headed towards U.S.""",Bloggers,pants-fire
"September24,2017",a tweet,"""NFL attendance and ratings are WAY DOWN. Boring games yes, but many stay away because they love our country.""",Donald Trump,barely-true
"August29,2017",a campaign website,"""Roy Moore fought for pay increases for politicians while courts had to shut down because of lack of funding.""",Luther Strange,false
"September21,2017",a tweet,"The Graham-Cassidy health care bill does ""include coverage of pre-existing conditions.""",Donald Trump,barely-true
"September21,2017",comments on 'Fox & Friends',"""Thomas Jefferson said, ‘Government that governs least governs best.’ """,Mike Pence,false
"September20,2017",an interview on CNN,"Under the Graham-Cassidy health insurance bill, in ""states like Maine, Virginia, Florida, Missouri, there will be billions more dollars to provide health insurance coverage for those in those states who have been passed by by Obamacare.""",Bill Cassidy,barely-true
"September14,2017",an attack ad,"Says Roy Moore is ""on the wrong side of Trump’s border wall.""",Senate Leadership Fund,barely-true
"September7,2017",Breitbart column,"""Facts have come to light that indicate that a pivotal, close election was likely changed through voter fraud on November 8, 2016: New Hampshire’s U.S. Senate Seat, and perhaps also New Hampshire’s four Electoral College votes in the presidential election.""",Kris Kobach,false
"September7,2017",an interview on MSNBC,"""So the number on DACA is 800,000, but every one person can bring in their entire extended family once they reach a certain status. So it's 3 or 4 million, right?""",Dave Brat,false
"September7,2017",a fake news article,"""Georgia mosque keeps Hurricane Harvey donations, will send to Syrian refugees instead""",Bloggers,pants-fire
"September6,2017",an interview on The Rachel Maddow Show,"""No court has held (Deferred Action for Childhood Arrivals) unconstitutional.""",Eric Schneiderman,true
"September5,2017",an interview,"""President (Ronald) Reagan did a similar thing. George H.W. Bush did a similar order"" as former President Barack Obama’s Deferred Action for Childhood Arrivals, or DACA.",Al Franken,mostly-true
"September5,2017",remarks at the Justice Department,"Says President Barack Obama’s policy known as DACA ""contributed to a surge of minors at the southern border.""",Jeff Sessions,barely-true
"August2,2017",an ad,"In addition to his compensation as a judge, ""Roy Moore and his wife (paid themselves) over $1 million from a charity they ran.""",Senate Leadership Fund,mostly-true
"August29,2017",Internet posts,"Says video shows Mike Pence quoting the Bible as justification for ""Congress not to fund Katrina relief effort.""",Bloggers,pants-fire
"August28,2017",a press conference,"""We stopped traffic coming through -- 78 percent.""",Donald Trump,false
"August28,2017",an MSNBC interview,"""Two-thirds of the (Hurricane Sandy relief) bill had nothing to do with Sandy.""",Ted Cruz,barely-true
"August20,2017",an interview,"""I think what the authors of the (25th) Amendment principally had in mind was some kind of physical incapacitation or serious mental illness or a breakdown, an inability to function in office.""",Adam Schiff,true
"August25,2017",a tweet,"Says his conviction is ""a political witch hunt by holdovers in the Obama justice department.""",Joe Arpaio,false
"August28,2017",tweets,Photo shows a shark swimming on a freeway in Houston.,Bloggers,pants-fire
"August22,2017",in an ad,"Says Kelli Ward hosted a town hall on ""chemtrail conspiracy theories"" and is open to sponsoring chemtrails legislation.",Senate Leadership Fund,barely-true
"August21,2017",a CNN town hall broadcast,"""We’ve got dozens of counties around America that have zero insurers left.""",Paul Ryan,pants-fire
"August22,2017",a rally,"""We have become an energy exporter for the first time ever just recently.""",Donald Trump,false
"August22,2017",a rally,"""There aren't too many people outside protesting"" his speech at the Phoenix Convention Center.",Donald Trump,false
"July31,2017",Voices of Montana radio show,"Says Sen. Jon Tester ""believes that we should have a national registration so that the people of Montana should have to ask permission before they purchase a gun, ask permission from the federal government.""",Matthew Rosendale,pants-fire
"August15,2017",a question-and-answer session with reporters,"White nationalist protesters in Charlottesville ""had a permit. The other group didn’t have a permit.""",Donald Trump,pants-fire
"August17,2017",a tweet,"""Study what General Pershing of the United States did to terrorists when caught. There was no more Radical Islamic Terror for 35 years!""",Donald Trump,pants-fire
"August15,2017",a question-and-answer session with reporters,"Wages ""haven’t gone up for a long time.""",Donald Trump,false
"August14,2017",an interview with Vox.com,"""There are communities under Sharia law right now in our country. Up in Illinois. ... There’s Sharia law, as I understand it, in Illinois, Indiana -- up there. I don't know.""",Roy Moore,pants-fire
"August8,2017",an interview with MSNBC,"""There's no such thing as a lone wolf. ... That was a phrase invented by the last administration to make Americans stupid.""",Sebastian Gorka,pants-fire
"August9,2017",a tweet,"""My first order as president was to renovate and modernize our nuclear arsenal. It is now far stronger and more powerful than ever before.""",Donald Trump,false
"August7,2017",a tweet,"Says his time away from Washington coincides with a ""long planned renovation"" for the White House.",Donald Trump,true
"August5,2017",a tweet,"""United Nations Resolution is the single largest economic sanctions package ever on North Korea. Over one billion dollars in cost to N.K.""",Donald Trump,mostly-true
"July25,2017",an interview,"Untaxed corporate earnings used to be ""$2.5 trillion … I guess it’s $5 trillion now. Whatever it is, it’s a lot more. So we have anywhere from 4 (trillion) to 5 or even more trillions of dollars sitting offshore.""",Donald Trump,false
"July28,2017",a speech,"""The border is down 78 percent. Under past administrations, the border didn’t go down -- it went up.""",Donald Trump,false
"July31,2017",remarks,"""Business spirit is the highest it's ever been, according to polls.""",Donald Trump,barely-true
"July26,2017",a tweet,"""In light of the leak of my financial disclosure info which is a felony I will be contacting @FBI and the @TheJusticeDept""",Anthony Scaramucci,false
"July25,2017",a speech,"""We've achieved a historic increase in defense spending to get our troops the support they so richly deserve.""",Donald Trump,false
"July26,2017",comments on CNN,"""You've got thousands of people serving in the military who are transgender.""",Ted Lieu,mostly-true
"July24,2017",Twitter,"Amazon has a ""no-tax monopoly.""",Donald Trump,pants-fire
"July23,2017","an interview on ABC's ""This Week""","""When the price for oil goes up on the markets, it goes right up, but it never goes down.""",Charles Schumer,false
"July24,2017",a speech at the Boy Scout Jamboree,"""We had the best jobs report in 16 years.""",Donald Trump,mostly-true
"July25,2017",a tweet,"""The person in charge of the Hillary investigation, Andrew McCabe, got $700,000 from (Hillary Clinton) for wife!""",Donald Trump,barely-true
"July12,2017",a speech,"""According to a recent study from the University of California Riverside, (sanctuary) cities with these policies have more violent crime on average than those that don’t.""",Jeff Sessions,barely-true
"July22,2017",Fox News interview,"Just 6 percent of Americans say Russia is the country’s most important issue, yet the story receives ""75 percent of the coverage"" in the media.",Kellyanne Conway,barely-true
"July19,2017",an interview with the New York Times,"During the Nixon Watergate investigation, ""out of courtesy, the FBI started reporting to the Department of Justice. But there was nothing official.""",Donald Trump,false
"July12,2017",a CBN interview,"""I've gotten rid of the Johnson Amendment … I signed an executive order so that now ... ministers and and preachers and rabbis and whoever it may be, they can speak. You know, you couldn’t speak politically before, now you can.""",Donald Trump,barely-true
"July13,2017",a video,"""One in three people who’s receiving treatment for (opioid) drug problems gets some help from Medicaid to pay for that.""",Elizabeth Warren,mostly-true
"July16,2017",a tweet,"Says his job approval poll numbers are ""not bad"" relative to other presidents at this point in his presidency.",Donald Trump,false
"July14,2017",a speech to the National Governors Association,"In Ohio, due to Medicaid expansion, ""nearly 60,000 disabled citizens are stuck on waiting lists ... leaving them without the care they need for months or even years.""",Mike Pence,false
"July10,2017",Morning Joe,"Medicaid ""is contributing to 70 percent of our budget deficit right now. It’s the one that is in our lap because of Obamacare.""",Pat Toomey,barely-true
"June30,2017",a blog post,"Says ""CNN host Fareed Zakaria calls for jihad rape of white women.""",Bloggers,pants-fire
"July7,2017",a tweet,"Says John Podesta ""refused to give the DNC server to the FBI and the CIA. Disgraceful!""",Donald Trump,false
"June26,2017",a video,"Says because of Donald Trump, ""the IRS decided to stop enforcing the individual mandate that was the underpinning of the ACA. That has resulted in insurance companies all across the country jacking their rates up, explicitly because they don't believe that healthy people will buy insurance.""",Chris Murphy,barely-true
"July6,2017",a press conference,"Says Barack Obama found out about Russia ""in August. Now, the election was in November. That's a lot of time. He did nothing about it.""",Donald Trump,barely-true
"July4,2017",a tweet,"""Gas prices are the lowest in the U.S. in over ten years!""",Donald Trump,barely-true
"June29,2017",a White House press briefing,"""The president in no way, form or fashion has ever promoted or encouraged violence.""",Sarah Huckabee Sanders,false
"June27,2017",a tweet,"CNN’s ratings are ""way down.""",Donald Trump,pants-fire
"June28,2017",an immigration roundtable discussion,"""We're pretty much at the 50 percent mark"" on deportations of MS-13 gang members.",Donald Trump,false
"June17,2017",a blog post,"""U.N. official John Ashe set to testify against the Clintons may not have died by accident.""",Bloggers,false
"June26,2017",an op-ed,"""We are $20 trillion in debt. The Congressional Budget Office projects an additional $129 trillion of accumulated deficits over the next 30 years.""",Ron Johnson,mostly-true
"June27,2017",an interview with Fox News,"Says the CBO said ""it's not that people are getting pushed off a plan; it's that people will choose not to buy something they don't like or want.""",Paul Ryan,barely-true
"June25,2017","an interview on ""Meet the Press""","""When you throw 23 million people off of health insurance -- people with cancer, people with heart disease, people with diabetes -- thousands of people will die. … This is study after study making this point.""",Bernie Sanders,mostly-true
"June25,2017","an interview on ABC's ""This Week with George Stephanopoulos""","There ""are not cuts to Medicaid"" in the GOP health care proposals.",Kellyanne Conway,barely-true
"June22,2017",a Facebook post,"The Senate bill ""hands enormous tax cuts to the rich and to the drug and insurance industries, paid for by cutting health care for everybody else.""",Barack Obama,mostly-true
"June23,2017",Fox & Friends,"""I can say that the people that have been hired (for the independent Russia investigation) are all Hillary Clinton supporters, some of them worked for Hillary Clinton.""",Donald Trump,barely-true
"June19,2017",an interview,"""Most likely the primary control knob (for the earth’s temperature) is the ocean waters and this environment that we live in.""",Rick Perry,false
"May21,2017",a blog post,"""Chinese lunar rover finds no evidence of American moon landings.""",AntiNews.in,pants-fire
"June21,2017",a White House tweet,Obamacare has led to fewer health insurance options for millions of Americans.,Donald Trump,barely-true
"June16,2017",in a blog post,"""Trump welcomes Jamaica as a U.S. territory""",Bloggers,pants-fire
"June18,2017",a tweet,"""The new Rasmussen Poll, one of the most accurate in the 2016 Election, just out with a Trump 50% Approval Rating. That's higher than O's #'s!""",Donald Trump,barely-true
"June12,2017",a press conference,"""The Kingdom of Saudi Arabia, whose government has important business and policy before the president of the United States, has already spent hundreds of thousands of dollars at the Trump International Hotel.""",Karl Racine,mostly-true
"June12,2017","an interview on ""Fox & Friends""","""There are currently 6 million jobs available in this country that are due in part to the skills gap.""",Ivanka Trump,true
"June14,2017",a website article,"Says Loretta Lynch was part of ""a stunning collection of calls to violence and murder from the intolerant, unhinged leftists in the Democrat party.""",Infowars,pants-fire
"June13,2017",a tweet,"""Two million more people just dropped out of Obamacare. It is in a death spiral.""",Donald Trump,barely-true
"June12,2017",a Cabinet meeting,"Rare is the president ""who's passed more legislation, who's done more things than what we've done, between the executive orders and the job-killing regulations that have been terminated.""",Donald Trump,barely-true
"June12,2017","an interview on ""Fox & Friends""","""While (women) represent 47 percent of the overall work force, we only make up 23 percent of STEM-related occupations.""",Ivanka Trump,mostly-true
"June1,2017",a speech at the White House,"""China will be allowed to build hundreds of additional coal plants. So we can’t build the plants, but they can, according to this (Paris) agreement.""",Donald Trump,false
"June4,2017","an interview on NBC's ""Meet the Press""","""Since the fourth quarter of last year until most recently, we've added almost 50,000 jobs in the coal sector. In the month of May alone, almost 7,000 jobs.""",Scott Pruitt,barely-true
"June4,2017","an interview on ABC ""This Week""","""A majority of President Trump's supporters and voters wanted (the United States) to stay in"" the Paris Agreement.",Al Gore,barely-true
"June4,2017",a tweet,"""At least 7 dead and 48 wounded in terror attack and Mayor of London says there is ‘no reason to be alarmed!’ """,Donald Trump,false
"June1,2017",a tweet,"""Syria and Nicaragua are the only nations that didn't sign the Paris Agreement. Nicaragua said it wasn't tough enough.""",Debbie Wasserman Schultz,true
"May25,2017",a tweet,"Says President Donald ""Trump’s budget gives a $100 billion tax break to three of the wealthiest families.""",Bernie Sanders,barely-true
"May22,2017",an article on a fake news website,"Says Pat Robertson said, ""We must impose a rule on the gay population that would require them to wear specially-colored clothes.""",Uspoln Website,pants-fire
"May28,2017",a Fox News interview,"""Many of the countries in question (in Trump’s travel ban) don't even have a U.S. embassy there to help us vet.""",John Kelly,true
"May26,2017",a tweet,"Deals struck on his first foreign trip as president made and saved ""millions of jobs.""",Donald Trump,false
"May24,2017",a Facebook post,"""This year, a majority of states are seeing premiums and costs double"" under Obamacare.",James Lankford,false
"May18,2017","an interview on MSNBC's ""Morning Joe""","""You can see visits to Moscow made during the campaign by (Paul) Manafort and others.""",Maxine Waters,barely-true
"May18,2017",a Senate floor speech,"""President Obama became the first president since Carter to leave the White House with a smaller federal prison population than when he took office.""",Charles Schumer,true
"May15,2017",remarks to reporters,"""The minute the president speaks about it to someone, he has the ability to declassify anything at any time without any process.""",James Risch,mostly-true
"May12,2017",Twitter,"""Law firm @POTUS used to show he has no ties to Russia was named Russia Law Firm of the Year for their extensive ties to Russia. Unreal.""",Chris Murphy,mostly-true
"May11,2017",an interview with 'The Economist',"The federal tax code includes ""deductions for birds flying across America.""",Donald Trump,true
"May12,2017",Twitter,"Says James Clapper ""and virtually everyone else"" said ""there is no collusion"" in the Russia investigation findings.",Donald Trump,barely-true
"May11,2017",an interview with NBC News,"""This Russia thing with Trump and Russia is a made-up story. It's an excuse by the Democrats for having lost an election that they should've won.""",Donald Trump,pants-fire
"May4,2017",CNN,"""Nobody on Medicaid"" will have their benefits taken away.",Kevin McCarthy,false
"May5,2017",a town hall event,"""Nobody dies because they don’t have access to health care.""",Raul Labrador,pants-fire
"May1,2017",her new book,"Says John Quincy Adams said, ""If your actions inspire others to dream more, learn more, do more, and become more, you are a leader.""",Ivanka Trump,false
"May4,2017",blog headlines,"Under the House Republican health plan, sexual assault is a pre-existing condition.",Bloggers,barely-true
"April30,2017",Twitter,"""Dems want billions to go to Insurance Companies to bail out donors""",Donald Trump,false
"May4,2017",remarks,On voting for a health care bill without an up-to-date Congressional Budget Office score,Paul Ryan,full-flop
"May2,2017","her book ""Women Who Work""","""40 percent of American households have female primary breadwinners.""",Ivanka Trump,mostly-true
"April30,2017",an interview on CBS,"""General Flynn got his clearance from the Obama administration.""",Donald Trump,true
"April28,2017",comments to the UN Security Council,"""China account(s) for 90 percent of North Korean trade.""",Rex Tillerson,true
"April28,2017",the National Rifle Association Annual Meeting,"""For the first time in the modern political era, we have confirmed a new justice in the first 100 days.""",Donald Trump,mostly-true
"April27,2017",a tweet,"""The ‘tax plan’ rolled out by @realDonaldTrump would have cut his taxes by $30 million in 2005 (the only year we have returns for).""",Nancy Pelosi,mostly-true
"April27,2017",a tweet,"""Before NAFTA, trade between the US and Mexico was around $50 billion. Now it stands at more than $500 billion.""",Jeff Flake,mostly-true
"April26,2017",a tweet,"""The U.S. recorded its slowest economic growth in five years (2016). GDP up only 1.6%. Trade deficits hurt the economy very badly.""",Donald Trump,barely-true
"April27,2017",a April 26 press conference,"Says President Donald Trump ""has given more financial disclosure than anybody else.""",Steve Mnuchin,false
"April25,2017",the daily White House press briefing,"Trump has ""worked with Congress to pass more legislation in his first 100 days than any president since Truman.""",Sean Spicer,mostly-true
"April25,2017",a tweet,"""Trump's Cabinet is more white and more male than any first Cabinet since President Ronald Reagan’s.""",Center for American Progress,mostly-true
"April25,2017",a panel discussion,"""The single-largest expense in  over half of American households is child care.""",Ivanka Trump,barely-true
"April24,2017",an interview wth the Associated Press,"""Back when they did NATO, there was no such thing as terrorism.""",Donald Trump,barely-true
"April21,2017",an interview with the Associated Press,"Illegal immigration on the U.S.-Mexico border is ""the lowest in 17 years.""",Donald Trump,true
"April18,2017",a speech,"""No administration has accomplished more in the first 90 days.""",Donald Trump,false
"April20,2017",a tweet,"""Hate speech is not protected by the first amendment.""",Howard Dean,false
"April13,2017",an interview,"Says President Donald Trump as a candidate mentioned WikiLeaks ""over 160 times in speeches"" in the last month of the campaign.",Jackie Speier,mostly-true
"April18,2017",an interview on MSNBC,"""I have not called for impeachment"" of President Donald Trump.",Maxine Waters,pants-fire
"April18,2017",a tweet,"""The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!""",Donald Trump,false
"April16,2017","an interview with CNN's ""State of the Union""","""When Trump won, we had the lowest voter turnout in 20 years.""",Bernie Sanders,false
"April12,2017",a press conference,"On whether NATO is ""obsolete.""",Donald Trump,full-flop
"April9,2017","an interview on ABC ""This Week""","The Obama administration’s 2013 Syria proposal ""had no clear objective,"" while Trump’s Syria strike ""had a clear strategic objective.""",Marco Rubio,false
"April11,2017",media comments,"Before the presidential campaign, ""I didn't know Steve (Bannon).""",Donald Trump,pants-fire
"April11,2017",comments to reporters,"Says Adolf Hitler ""didn't even sink to the level of using chemical weapons. ... He was not using the gas on his own people the same way that (Bashar al-)Assad is doing.""",Sean Spicer,pants-fire
"April4,2017",an interview on CNN,"""It is unusual"" for a White House official like former National Security Adviser Susan Rice to make unmasking requests.",Tom Cotton,false
"March31,2017","a conversation on HBO's ""Real Time with Bill Maher""","""The EPA director under Obama said the Clean Power Initiative would have no effect on man-made CO2 emissions. That's what she said. Go look it up.""",Rick Santorum,false
"April4,2017",a CEO town hall,"""There was a very large infrastructure bill that was approved during the Obama administration, a trillion dollars. Nobody ever saw anything being built.""",Donald Trump,barely-true
"April4,2017",a CEO town hall,"""When you look for a job, you can't find it and you give up. You are now considered statistically employed.""",Donald Trump,false
"March28,2017",a subcommittee hearing,"""Apprehension rates at the southern border have plummeted since the 1980s, and apprehensions of Mexicans specifically have reached their lowest point in nearly half a century.""","John Conyers, Jr.",mostly-true
"March28,2017",a tweet,"""215 members of Congress just voted to let your ISP spy on what type of underwear you buy and sell that data to advertisers.""",Fight for the Future,mostly-true
"March27,2017",a press briefing,"""Just last May, the Department of Justice inspector general found that these (‘sanctuary city’) policies also violate federal law.""",Jeff Sessions,barely-true
"March1,2017",a Senate floor speech,"""In fact, if you add up the net wealth of his cabinet, it has more wealth than a third of the American people total -- close to 100 million people.""",Charles Schumer,mostly-true
"March16,2017",remarks on the House floor,"""More than half of Planned Parenthood facilities are in rural or medically underserved areas.""",Carolyn Maloney,true
"March20,2017",remarks at a Kentucky rally,"""Since China joined — that’s another beauty — the WTO in 2001, the U.S. has lost many more than 60,000 factories.""",Donald Trump,mostly-true
"March23,2017",a statement on the 7th anniversary of the Affordable Care Act,"""The vast majority of marketplace enrollees have experienced no average premium hike at all.""",Barack Obama,mostly-true
"March19,2017",remarks,"Says President Donald Trump’s proposal to allow Americans to buy health insurance across state lines would make it the same as ""the way you buy car insurance"" today.",Mike Pence,false
"March20,2017",a press briefing,"Says Paul Manafort ""played a very limited role"" in the Trump presidential campaign.",Sean Spicer,false
"March16,2017",a press conference,"""In year No. 1, 14 million Americans lose coverage,"" according to the CBO.",Chris Murphy,mostly-true
"March20,2017",a rally,"""Since the day of my election, we've already cut illegal immigration at the southern border by 61 percent.""",Donald Trump,mostly-true
"March8,2017",a House Judiciary Committee hearing,"Wealthy foreigners can obtain visas through a special program, but only a small number ""invest in true high-unemployment areas. Almost every other EB-5 project uses gerrymandering to qualify as distressed.""",Patrick Leahy,mostly-true
"March16,2017",a press conference,"""There's no demonstrable evidence they (after-school programs that feed kids) are helping kids do better at school.""",Mick Mulvaney,barely-true
"March20,2017",a tweet,"""The NSA and FBI tell Congress that Russia did not influence electoral process.""",Donald Trump,false
"March18,2017",a post on Twitter,"""Germany owes ... vast sums of money to NATO & the United States must be paid more for the powerful, and very expensive, defense it provides to Germany!""",Donald Trump,false
"March15,2017",an interview with Fox's Tucker Carlson,"Says ""the New York Times wrote about"" Barack Obama wiretapping Donald Trump during the election.",Donald Trump,false
"March13,2017",a press conference,"The House Republican health care ""plan doesn't get rid of Medicaid expansion.""",Mick Mulvaney,barely-true
"March13,2017",his first Cabinet meeting,"""In the first full month of my administration following the issuance of my executive orders, illegal immigration on our southern border fell by an unprecedented 40 percent.""",Donald Trump,mostly-true
"March13,2017",a listening session on health care,"""One-third of the counties — think of it, one-third — only have one insurer left"" on the Affordable Care Act exchanges.",Donald Trump,true
"March12,2017","an interview on ""Meet the Press""","""The number of individuals who actually got coverage through the exchange who didn't have coverage before, or who weren't eligible for Medicaid before is relatively small. So we've turned things upside down completely for 3 million, or 4 million, or 5 million individuals.""",Tom Price,false
"March7,2017",a press briefing,"The Obama administration said ""they were going to be able to drive folks away from one of the most expensive areas for the provision of health care, and that is the emergency rooms. In fact, they did just the opposite.""",Tom Price,mostly-true
"March9,2017",an interview on CNBC,"Carbon dioxide is not ""a primary contributor to the global warming that we see.""",Scott Pruitt,false
"March8,2017","an interview on MSNBC's ""All In With Chis Hayes""","The GOP health care plan gives ""$275 billion in tax breaks for the top 2 percent, people earning $250,000 a year or more.""",Bernie Sanders,mostly-true
"March7,2017",a oress conference,"Under the Affordable Care Act, ""some people were gaming the system"" by paying ""for nine months of insurance, get 12 -- the other three for free.""",Greg Walden,barely-true
"March5,2017","an interview with CNN's ""State of the Union""","Says 70 percent of benefits in Donald Trump’s proposal for child care ""go to the people making over $100,000 a year.""",Nancy Pelosi,true
"March7,2017",a tweet,"""122 vicious prisoners, released by the Obama Administration from Gitmo, have returned to the battlefield.""",Donald Trump,barely-true
"March5,2017","an interview on ABC's ""This Week""","""Everybody acts like President Trump is the one that came up with this idea. ... There are multiple news outlets that have reported"" former President Barack Obama ordered wiretapping on Trump.",Sarah Huckabee Sanders,false
"March2,2017",a tweet,"""I’ve been on the Armed Services (Committee) for 10 years. No call or meeting w/ Russian ambassador. Ever.""",Claire McCaskill,false
"February28,2017",a speech before a joint session of Congress,"""According to data provided by the Department of Justice, the vast majority of individuals convicted of terrorism and terrorism-related offenses since 9/11 came here from outside of our country.""",Donald Trump,barely-true
"February28,2017",a speech to Congress,"Says his budget ""calls for one of the largest increases in national defense spending in American history.""",Donald Trump,barely-true
"February21,2017",a press release,"Political activists are ""being paid"" to protest members of Congress.",Louie Gohmert,false
"February26,2017","an interview on NBC's ""Meet the Press""","Says ""Donald Trump wants to eliminate overtime pay for people.""",Thomas Perez,barely-true
"February25,2017",a tweet,"""The National Debt in my first month went down by $12 billion.""",Donald Trump,barely-true
"February18,2017",a campaign rally,"""Look at what’s happening last night in Sweden. Sweden, who would believe this? Sweden. They took in large numbers. They’re having problems like they never thought possible.""",Donald Trump,false
"February16,2017",a press conference,"""The stock market has hit record numbers, as you know. And there has been a tremendous surge of optimism in the business world.""",Donald Trump,mostly-true
"February16,2017",a news conference,"The media has ""a lower approval rate than Congress.""",Donald Trump,barely-true
"February16,2017",comments during and after the 2016 presidential campaign,On leaks and the release of secret information.,Donald Trump,full-flop
"February15,2017",a joint press conference with President Donald Trump,"In the ""past few weeks,"" President Donald Trump pointed out ""Iranian violations on ballistic missile tests. By the way, these ballistic missiles are inscribed in Hebrew, ‘Israel must be destroyed.’ """,Benjamin Netanyahu,mostly-true
"February13,2017",an interview with MSNBC's Chris Hayes,"""Before the Affordable Care Act, (West Virginia’s) uninsured rate for people 64 to 19 was 29 percent. Today, it is 9 percent.""",Bernie Sanders,mostly-true
"February12,2017","an interview on ABC's ""This Week""","""I'm calling into question the accuracy of the ruling. The district judge in Seattle said there was no indication of terrorism from these seven countries in our country.""",Stephen Miller,barely-true
"February7,2017",a Fox News interview,"Of 1 million green cards issued a year, ""almost none of those green cards are based on job skills or demonstrated economic needs.""",Tom Cotton,mostly-true
